"Unique Key","Created Date","Closed Date","Agency","Agency Name","Complaint Type","Descriptor","Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type","City","Landmark","Facility Type","Status","Due Date","Resolution Description","Resolution Action Updated Date","Community Board","BBL","Borough","X Coordinate (State Plane)","Y Coordinate (State Plane)","Open Data Channel Type","Park Facility Name","Park Borough","Vehicle Type","Taxi Company Borough","Taxi Pick Up Location","Bridge Highway Name","Bridge Highway Direction","Road Ramp","Bridge Highway Segment","Latitude","Longitude","Location"
"66650842","10/29/2025 11:11:09 PM","10/30/2025 12:29:29 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11374","61-80 WOODHAVEN BOULEVARD","WOODHAVEN BOULEVARD","DRY HARBOR ROAD","62 AVENUE","DRY HARBOR ROAD","62 AVENUE","ADDRESS","REGO PARK","WOODHAVEN BOULEVARD",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/30/2025 12:29:29 PM","05 QUEENS","4029740130","QUEENS","1,020,058","204,305","ONLINE","Unspecified","QUEENS",,,,,,,,"40.72737424577","-73.87080707191","(40.727374245770534, -73.87080707191431)"
"66640806","10/28/2025 11:00:31 AM","10/28/2025 03:53:48 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10003","336 EAST    5 STREET","EAST    5 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE","ADDRESS","NEW YORK","EAST    5 STREET",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","10/28/2025 03:53:48 PM","03 MANHATTAN","1004460026","MANHATTAN","987,570","203,911","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.72636466601","-73.98802184235","(40.726364666006816, -73.98802184234937)"
"66645268","10/28/2025 07:36:57 AM","10/28/2025 03:47:06 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10021","1396 2 AVENUE","2 AVENUE","EAST 72 STREET","EAST 73 STREET","EAST   72 STREET","EAST   73 STREET","ADDRESS","NEW YORK","2 AVENUE",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","10/28/2025 03:47:06 PM","08 MANHATTAN","1014477501","MANHATTAN","995,831","219,453","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76901658474","-73.95819039481","(40.769016584744776, -73.95819039480817)"
"66629607","10/27/2025 04:55:50 PM",,"DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11385","66-46 MYRTLE AVENUE","MYRTLE AVENUE","66 PLACE","67 STREET","66 PLACE","67 STREET","ADDRESS","RIDGEWOOD","MYRTLE AVENUE",,"In Progress",,,,"05 QUEENS",,"QUEENS","1,015,666","194,854","ONLINE","Unspecified","QUEENS",,,,,,,,"40.70145021888","-73.88669720735","(40.701450218877184, -73.8866972073471)"
"66632908","10/27/2025 08:41:18 AM","10/27/2025 01:18:48 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10021","1396 2 AVENUE","2 AVENUE","EAST 72 STREET","EAST 73 STREET","EAST   72 STREET","EAST   73 STREET","ADDRESS","NEW YORK","2 AVENUE",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/27/2025 01:18:48 PM","08 MANHATTAN","1014477501","MANHATTAN","995,831","219,453","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76901658474","-73.95819039481","(40.769016584744776, -73.95819039480817)"
"66627920","10/27/2025 08:16:52 AM","10/27/2025 10:13:32 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10009","2N AVENUE D","AVENUE D","COLUMBIA STREET","EAST 3 STREET","COLUMBIA STREET","EAST    3 STREET","ADDRESS","NEW YORK","AVENUE D",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","10/27/2025 10:13:32 AM","03 MANHATTAN",,"MANHATTAN","990,162","201,604","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.72003115705","-73.9786722473","(40.72003115704984, -73.97867224729696)"
"66594343","10/24/2025 04:41:10 PM","10/27/2025 10:55:41 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10027","16 OLD BROADWAY","OLD BROADWAY","WEST 125 STREET","WEST 126 STREET","WEST  125 STREET","WEST  126 STREET","ADDRESS","NEW YORK","OLD BROADWAY",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/27/2025 10:55:41 AM","09 MANHATTAN","1019820067","MANHATTAN","996,096","236,364","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.81543236103","-73.95720386746","(40.81543236103379, -73.95720386746412)"
"66600981","10/24/2025 03:50:27 PM","10/27/2025 08:56:07 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10031","6 ST NICHOLAS PLACE","ST NICHOLAS PLACE","ST NICHOLAS AVENUE","WEST 150 STREET","ST NICHOLAS AVENUE","WEST  150 STREET","ADDRESS","NEW YORK","ST NICHOLAS PLACE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/27/2025 08:56:07 AM","09 MANHATTAN","1020530106","MANHATTAN","1,000,134","240,566","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.82695932397","-73.94260581199","(40.8269593239659, -73.94260581198719)"
"66582065","10/23/2025 12:05:53 PM","10/23/2025 04:07:47 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10003","336 EAST    5 STREET","EAST    5 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE","ADDRESS","NEW YORK","EAST    5 STREET",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/23/2025 04:07:47 PM","03 MANHATTAN","1004460026","MANHATTAN","987,570","203,911","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.72636466601","-73.98802184235","(40.726364666006816, -73.98802184234937)"
"66573374","10/22/2025 06:08:27 PM","10/23/2025 02:06:48 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10003","336 EAST    5 STREET","EAST    5 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE","ADDRESS","NEW YORK","EAST    5 STREET",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","10/23/2025 02:06:48 PM","03 MANHATTAN","1004460026","MANHATTAN","987,570","203,911","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.72636466601","-73.98802184235","(40.726364666006816, -73.98802184234937)"
"66549763","10/20/2025 03:14:16 AM","10/20/2025 02:42:11 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Loft Building","Loft Residence","11205","50 TAAFFE PLACE","TAAFFE PLACE","LITTLE NASSAU STREET","PARK AVENUE","LITTLE NASSAU STREET","PARK AVENUE","ADDRESS","BROOKLYN","TAAFFE PLACE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/20/2025 02:42:11 PM","03 BROOKLYN","3018810047","BROOKLYN","995,105","193,345","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.69735747564","-73.96085351377","(40.697357475638576, -73.9608535137711)"
"66523419","10/17/2025 03:55:04 PM","10/20/2025 10:09:37 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11213","799 CROWN STREET","CROWN STREET","UTICA AVENUE","FORD STREET","UTICA AVENUE","FORD STREET","ADDRESS","BROOKLYN","CROWN STREET",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/20/2025 10:09:37 AM","09 BROOKLYN","3014150087","BROOKLYN","1,003,467","181,635","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.6652019893","-73.9307309602","(40.66520198930239, -73.93073096019596)"
"66518718","10/17/2025 11:18:18 AM","10/20/2025 09:42:44 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11432","168-04 JAMAICA AVENUE","JAMAICA AVENUE","168 STREET","168 PLACE","168 STREET","168 PLACE","ADDRESS","JAMAICA","JAMAICA AVENUE",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/20/2025 09:42:44 AM","12 QUEENS","4102090002","QUEENS","1,041,844","196,716","ONLINE","Unspecified","QUEENS",,,,,,,,"40.70642929822","-73.79226977509","(40.70642929821615, -73.7922697750854)"
"66502771","10/16/2025 12:48:09 PM","10/17/2025 07:24:13 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11367","156-02 AGUILAR AVENUE","AGUILAR AVENUE","KISSENA BOULEVARD","72 AVENUE","KISSENA BOULEVARD","72 AVENUE","ADDRESS","FLUSHING","AGUILAR AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/17/2025 07:24:13 AM","08 QUEENS","4068050009","QUEENS","1,036,269","204,546","ONLINE","Unspecified","QUEENS",,,,,,,,"40.72795525208","-73.81231712955","(40.727955252077, -73.81231712954923)"
"66476075","10/14/2025 10:18:44 PM","10/15/2025 10:10:53 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10017","633 THIRD AVENUE","THIRD AVENUE","EAST 40 STREET","EAST 41 STREET","EAST   40 STREET","EAST   41 STREET","ADDRESS","NEW YORK","3 AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/15/2025 10:10:53 AM","06 MANHATTAN","1013147502","MANHATTAN","991,160","212,490","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.74990981892","-73.97506074579","(40.74990981891633, -73.97506074579181)"
"66480886","10/14/2025 03:13:37 PM","10/15/2025 08:41:59 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Loft Building","Loft Building - Common Areas","11249","151 KENT AVENUE","KENT AVENUE","KENT AVENUE","WYTHE AVENUE","KENT AVENUE","WYTHE AVENUE","ADDRESS","BROOKLYN","KENT AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/15/2025 08:41:59 AM","01 BROOKLYN","3023410001","BROOKLYN","994,595","201,209","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.71894290405","-73.96268064891","(40.71894290405008, -73.9626806489139)"
"66482238","10/14/2025 03:04:51 AM","10/14/2025 11:53:18 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10128","1260 MADISON AVENUE","MADISON AVENUE","EAST 90 STREET","EAST 91 STREET","EAST   90 STREET","EAST   91 STREET","ADDRESS","NEW YORK","MADISON AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/14/2025 11:53:18 AM","08 MANHATTAN","1015020017","MANHATTAN","996,202","224,758","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.7835769191","-73.95684157864","(40.7835769190983, -73.95684157864149)"
"66470309","10/13/2025 04:38:59 PM","10/14/2025 04:03:40 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11375","25 BOW STREET","BOW STREET",,"71 ROAD",,"71 ROAD","ADDRESS","FOREST HILLS","BOW STREET",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/14/2025 04:03:40 PM","06 QUEENS",,"QUEENS","1,027,115","200,707","PHONE","Unspecified","QUEENS",,,,,,,,"40.71746723855","-73.84536884015","(40.71746723855091, -73.84536884014527)"
"66429722","10/09/2025 01:37:36 PM","10/09/2025 03:08:42 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Loft Building","Loft Residence","11235","2826 BATCHELDER STREET","BATCHELDER STREET","GUNNISON COURT","EMMONS AVENUE","GUNNISON COURT","EMMONS AVENUE","ADDRESS","BROOKLYN","BATCHELDER STREET",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/09/2025 03:08:42 PM","15 BROOKLYN","3088007502","BROOKLYN","1,002,021","152,316","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.58473052796","-73.93602035661","(40.58473052795588, -73.93602035661291)"
"66422845","10/09/2025 09:30:22 AM","10/09/2025 10:48:26 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11355","140-40 SANFORD AVENUE","SANFORD AVENUE","KISSENA BOULEVARD","UNION STREET","KISSENA BOULEVARD","UNION STREET","ADDRESS","FLUSHING","SANFORD AVENUE",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","10/09/2025 10:48:26 AM","07 QUEENS","4051800035","QUEENS","1,032,484","215,287","PHONE","Unspecified","QUEENS",,,,,,,,"40.75745800804","-73.8258962261","(40.757458008042555, -73.8258962260992)"
"66410031","10/08/2025 07:25:36 PM","10/09/2025 09:44:07 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10312","3230 RICHMOND AVENUE","RICHMOND AVENUE","ARTHUR KILL ROAD","WAINWRIGHT AVENUE","ARTHUR KILL ROAD","WAINWRIGHT AVENUE","ADDRESS","STATEN ISLAND","RICHMOND AVENUE",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","10/09/2025 09:44:07 AM","03 STATEN ISLAND","5200039999","STATEN ISLAND","937,071","143,499","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.56042189582","-74.16979342278","(40.560421895819005, -74.1697934227754)"
"66410032","10/08/2025 11:21:48 AM","10/08/2025 01:32:18 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11355","140-40 SANFORD AVENUE","SANFORD AVENUE","KISSENA BOULEVARD","UNION STREET","KISSENA BOULEVARD","UNION STREET","ADDRESS","FLUSHING","SANFORD AVENUE",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/08/2025 01:32:18 PM","07 QUEENS","4051800035","QUEENS","1,032,484","215,287","PHONE","Unspecified","QUEENS",,,,,,,,"40.75745800804","-73.8258962261","(40.757458008042555, -73.8258962260992)"
"66391122","10/06/2025 01:17:10 PM","10/06/2025 02:52:58 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Loft Building","Loft Residence","11201","135 PLYMOUTH STREET","PLYMOUTH STREET","ANCHORAGE PLACE","PEARL STREET","ANCHORAGE PLACE","PEARL STREET","ADDRESS","BROOKLYN","PLYMOUTH STREET",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/06/2025 02:52:58 PM","02 BROOKLYN","3000180001","BROOKLYN","987,598","195,694","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.70381095533","-73.98792490837","(40.70381095532745, -73.98792490837364)"
"66370460","10/04/2025 08:02:49 PM","10/06/2025 11:27:47 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11212","864 ROCKAWAY AVENUE","ROCKAWAY AVENUE","NEWPORT STREET","LOTT AVENUE","NEWPORT STREET","LOTT AVENUE","ADDRESS","BROOKLYN","ROCKAWAY AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/06/2025 11:27:47 AM","16 BROOKLYN","3036140052","BROOKLYN","1,009,798","179,241","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.65861498684","-73.90791950728","(40.65861498683965, -73.9079195072805)"
"66365361","10/03/2025 04:44:30 PM","10/06/2025 11:39:34 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Loft Building","Loft Residence","11226","58 LINDEN BOULEVARD","LINDEN BOULEVARD","FLATBUSH AVENUE","CATON AVENUE","FLATBUSH AVENUE","CATON AVENUE","ADDRESS","BROOKLYN","LINDEN BOULEVARD",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/06/2025 11:39:34 AM","14 BROOKLYN","3050860037","BROOKLYN","996,146","176,911","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.65224851276","-73.95712835236","(40.65224851276126, -73.9571283523581)"
"66359207","10/03/2025 01:05:14 PM","10/03/2025 02:32:37 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Loft Building","Loft Building - Common Areas","11249","151 KENT AVENUE","KENT AVENUE","KENT AVENUE","WYTHE AVENUE","KENT AVENUE","WYTHE AVENUE","ADDRESS","BROOKLYN","KENT AVENUE",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/03/2025 02:32:37 PM","01 BROOKLYN","3023410001","BROOKLYN","994,595","201,209","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.71894290405","-73.96268064891","(40.71894290405008, -73.9626806489139)"
"66350463","10/02/2025 05:00:44 PM","10/03/2025 07:50:08 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10306","110 TIMBER RIDGE DRIVE","TIMBER RIDGE DRIVE","CARDINAL LANE","MEADOW LANE","CARDINAL LANE","MEADOW LANE","ADDRESS","STATEN ISLAND","TIMBER RIDGE DRIVE",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","10/03/2025 07:50:08 AM","03 STATEN ISLAND","5046457501","STATEN ISLAND","944,845","141,788","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.55576348861","-74.14180550796","(40.5557634886066, -74.14180550796188)"
"66349206","10/02/2025 02:49:22 PM","10/03/2025 09:26:12 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10462","1910 WALLACE AVENUE","WALLACE AVENUE","RHINELANDER AVENUE","BRONXDALE AVENUE","RHINELANDER AVENUE","BRONXDALE AVENUE","ADDRESS","BRONX","WALLACE AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","10/03/2025 09:26:12 AM","11 BRONX","2042610005","BRONX","1,021,767","248,410","ONLINE","Unspecified","BRONX",,,,,,,,"40.84842340697","-73.86439478257","(40.848423406970824, -73.86439478257188)"
